,SYMBOL,BID,BIDSIZ,OFR,OFRSIZ,PRICE,SIZE
2568,KO,61.97,2,61.98,50,61.97,600.0
2569,KO,61.97,15,61.98,26,61.97,100.0
2570,KO,61.97,14,61.98,12,61.98,2.0
2571,KO,61.96,5,61.97,28,61.97,300.0
2572,KO,61.96,2,61.97,22,61.965,2.0
2573,KO,61.96,28,61.98,17,61.97,100.0
2574,KO,61.97,5,61.98,30,61.97,100.0
2575,KO,61.96,1,61.97,27,61.96,100.0
2576,KO,61.96,14,61.97,6,61.969,40.0
2577,KO,61.96,3,61.97,15,61.965,100.0
2578,KO,61.95,8,61.96,28,61.96,200.0
2579,KO,61.94,20,61.95,13,61.95,150.0
2580,KO,61.95,15,61.96,18,61.95,75.0
2581,KO,61.95,4,61.96,35,61.955,3.0
2582,KO,61.95,3,61.96,34,61.95,403.0
2583,KO,61.94,19,61.95,16,61.95,1000.0
2584,KO,61.94,19,61.95,4,61.95,600.0
2585,KO,61.94,30,61.96,18,61.95,73.0
2586,KO,61.95,23,61.96,17,61.955,10.0
2587,KO,61.94,19,61.96,25,61.95,400.0
2588,KO,61.95,17,61.96,16,61.95,6.0
2589,KO,61.95,1,61.96,27,61.95,36.0
2590,KO,61.95,23,61.96,8,61.96,12.0
2591,KO,61.95,30,61.97,13,61.96,102.0
2592,KO,61.95,26,61.96,5,61.96,100.0
2593,KO,61.95,3,61.96,15,61.96,100.0
2594,KO,61.94,20,61.96,43,61.95,100.0
2595,KO,61.94,7,61.95,23,61.94,100.0
2596,KO,61.94,1,61.95,25,61.94,100.0
2597,KO,61.93,17,61.94,16,61.94,25.0
2598,KO,61.93,37,61.94,3,61.94,97.0
2599,KO,61.94,10,61.95,13,61.95,10.0
2600,KO,61.95,11,61.96,27,61.95,21.0
2601,KO,61.93,28,61.95,28,61.94,200.0
2602,KO,61.93,23,61.95,18,61.94,400.0
2603,KO,61.93,24,61.95,16,61.94,30.0
2604,KO,61.93,22,61.95,16,61.939,4.0
2605,KO,61.93,17,61.94,19,61.94,200.0
2606,KO,61.92,15,61.93,18,61.93,20.0
2607,KO,61.92,7,61.93,33,61.92,127.0
2608,KO,61.91,11,61.92,1,61.92,75.0
2609,KO,61.92,4,61.93,21,61.92,104.0
2610,KO,61.9,5,61.92,28,61.91,1000.0
2611,KO,61.89,3,61.9,19,61.9,614.0
2612,KO,61.9,8,61.91,16,61.9,100.0
2613,KO,61.89,22,61.9,17,61.9,200.0
2614,KO,61.89,24,61.91,15,61.9,300.0
2615,KO,61.89,26,61.9,2,61.9,1.0
2616,KO,61.89,23,61.9,24,61.9,400.0
2617,KO,61.88,8,61.89,32,61.89,100.0
2618,KO,61.88,10,61.9,24,61.89,200.0
2619,KO,61.89,12,61.9,9,61.89,400.0
2620,KO,61.89,11,61.9,1,61.9,236.0
2621,KO,61.89,7,61.9,5,61.9,100.0
2622,KO,61.89,6,61.9,5,61.9,100.0
2623,KO,61.89,10,61.9,2,61.9,400.0
2624,KO,61.89,17,61.91,17,61.9,100.0
2625,KO,61.89,4,61.9,23,61.9,100.0
2626,KO,61.89,27,61.91,17,61.9,1400.0
2627,KO,61.88,17,61.9,26,61.89,84.0
2628,KO,61.87,17,61.88,12,61.88,101.0
2629,KO,61.86,4,61.87,11,61.865,10.0
2630,KO,61.87,14,61.88,19,61.87,100.0
2631,KO,61.87,17,61.89,21,61.88,102.0
2632,KO,61.88,6,61.89,17,61.88,100.0
2633,KO,61.87,14,61.88,15,61.88,400.0
2634,KO,61.88,22,61.89,17,61.88,100.0
2635,KO,61.89,2,61.9,20,61.89,67.0
2636,KO,61.89,21,61.91,17,61.9,22.0
2637,KO,61.88,18,61.9,28,61.89,295.0
2638,KO,61.9,19,61.91,17,61.9,50.0
2639,KO,61.89,22,61.91,14,61.9,800.0
2640,KO,61.89,2,61.9,23,61.89,150.0
2641,KO,61.88,15,61.9,42,61.89,100.0
2642,KO,61.88,3,61.89,28,61.88,50.0
2643,KO,61.88,9,61.89,32,61.88,29.0
2644,KO,61.87,6,61.88,7,61.88,100.0
2645,KO,61.87,8,61.88,3,61.88,3.0
2646,KO,61.88,3,61.89,23,61.88,200.0
2647,KO,61.88,6,61.89,6,61.885,100.0
2648,KO,61.88,1,61.89,32,61.88,320.0
2649,KO,61.87,8,61.88,39,61.88,100.0
2650,KO,61.87,7,61.88,18,61.88,51.0
2651,KO,61.87,8,61.88,19,61.87,20.0
2652,KO,61.87,14,61.89,17,61.88,1300.0
2653,KO,61.89,25,61.9,12,61.89,303.0
2654,KO,61.89,22,61.91,19,61.9,83.0
2655,KO,61.9,15,61.91,17,61.9,96.0
2656,KO,61.89,30,61.9,24,61.9,700.0
2657,KO,61.88,30,61.9,27,61.89,128.0
2658,KO,61.89,14,61.9,3,61.9,109.0
2659,KO,61.9,21,61.91,5,61.9,350.0
2660,KO,61.89,13,61.9,21,61.9,1900.0
2661,KO,61.9,5,61.91,13,61.9,332.0
2662,KO,61.9,9,61.92,17,61.91,100.0
2663,KO,61.9,13,61.91,11,61.91,100.0
2664,KO,61.9,3,61.91,20,61.9,150.0
2665,KO,61.89,2,61.9,24,61.9,350.0
2666,KO,61.89,5,61.9,15,61.89,100.0
2667,KO,61.88,10,61.89,26,61.89,200.0
2668,KO,61.88,6,61.89,21,61.88,75.0
2669,KO,61.88,2,61.89,26,61.88,662.0
2670,KO,61.86,10,61.88,19,61.87,163.0
2671,KO,61.86,4,61.87,11,61.86,73.0
2672,KO,61.85,27,61.86,7,61.86,6.0
2673,KO,61.85,29,61.86,3,61.86,92.0
2674,KO,61.85,13,61.87,17,61.86,20.0
2675,KO,61.86,3,61.87,28,61.86,37.0
2676,KO,61.85,12,61.87,38,61.86,400.0
2677,KO,61.85,8,61.86,8,61.86,800.0
2678,KO,61.85,10,61.87,33,61.86,300.0
2679,KO,61.86,17,61.87,6,61.87,100.0
2680,KO,61.87,2,61.88,31,61.87,17.0
2681,KO,61.85,32,61.87,17,61.86,200.0
2682,KO,61.85,17,61.87,5,61.86,800.0
2683,KO,61.85,18,61.86,3,61.86,300.0
